timeStamp,humedad,temperatura,sonido
14/04/2023 15:06:45,61,27,61
14/04/2023 15:06:45,61,27,61
14/04/2023 15:06:45,61,27,61
14/04/2023 15:06:45,61,27,61
14/04/2023 15:06:46,61,27,61
14/04/2023 15:06:46,61,27,61
14/04/2023 15:06:46,61,27,61
14/04/2023 15:06:46,61,27,61
14/04/2023 15:06:47,61,27,61
14/04/2023 15:06:47,60,27,61
14/04/2023 15:06:47,60,27,61
14/04/2023 15:06:47,60,27,61
14/04/2023 15:06:48,60,27,61
14/04/2023 15:06:48,60,27,61
14/04/2023 15:06:48,60,27,61
14/04/2023 15:06:48,60,27,61
14/04/2023 15:06:49,60,27,62
14/04/2023 15:06:49,59,27,62
14/04/2023 15:06:49,59,27,61
14/04/2023 15:06:49,59,27,62
14/04/2023 15:06:50,59,27,62
14/04/2023 15:06:50,59,27,62
14/04/2023 15:06:50,59,27,62
14/04/2023 15:06:50,59,27,62
14/04/2023 15:06:51,59,27,62
14/04/2023 15:06:51,59,27,62
14/04/2023 15:06:51,59,27,62
14/04/2023 15:06:51,59,27,62
14/04/2023 15:06:52,59,27,62
14/04/2023 15:06:52,59,27,62
14/04/2023 15:06:52,59,27,62
14/04/2023 15:06:52,59,27,62
14/04/2023 15:06:53,59,27,62
14/04/2023 15:06:53,58,27,62
14/04/2023 15:06:53,58,27,62
14/04/2023 15:06:53,58,27,62
14/04/2023 15:06:54,58,27,62
14/04/2023 15:06:54,58,27,62
14/04/2023 15:06:54,58,27,61
14/04/2023 15:06:54,58,27,61
14/04/2023 15:06:55,58,27,60
14/04/2023 15:06:55,58,27,61
14/04/2023 15:06:55,58,27,63
14/04/2023 15:06:55,58,27,60
14/04/2023 15:06:56,58,27,61
14/04/2023 15:06:56,58,27,62
14/04/2023 15:06:56,58,27,61
14/04/2023 15:06:57,58,27,60
14/04/2023 15:06:57,58,27,60
14/04/2023 15:06:57,57,27,60
14/04/2023 15:06:57,57,27,58
14/04/2023 15:06:58,57,27,62
14/04/2023 15:06:58,57,27,125
